high_watermark,row_count,head_position,timestamp
238770,230000,230000,2026-06-04 20:33:04
238912,230000,230000,2026-06-04 20:33:04
239048,230000,230000,2026-06-04 20:33:04
239172,230000,230000,2026-06-04 20:33:04
239306,230000,230000,2026-06-04 20:33:05
239447,230000,230000,2026-06-04 20:33:05
239580,230000,230000,2026-06-04 20:33:05
239718,230000,230000,2026-06-04 20:33:05
239854,230000,230000,2026-06-04 20:33:05
239990,230000,230000,2026-06-04 20:33:05
240129,230000,230000,2026-06-04 20:33:05
240251,230000,230000,2026-06-04 20:33:05
240388,230000,230000,2026-06-04 20:33:05
240530,230000,230000,2026-06-04 20:33:05
240658,230000,230000,2026-06-04 20:33:06
240796,230000,230000,2026-06-04 20:33:06
240933,230000,230000,2026-06-04 20:33:06
241069,230000,230000,2026-06-04 20:33:06
241204,230000,230000,2026-06-04 20:33:06
241328,230000,230000,2026-06-04 20:33:06
241462,230000,230000,2026-06-04 20:33:06
241602,230000,230000,2026-06-04 20:33:06
241740,230000,230000,2026-06-04 20:33:06
241872,230000,230000,2026-06-04 20:33:06
242012,230000,230000,2026-06-04 20:33:07
242150,230000,230000,2026-06-04 20:33:07
242286,230000,230000,2026-06-04 20:33:07
242408,230000,230000,2026-06-04 20:33:07
242549,230000,230000,2026-06-04 20:33:07
242684,230000,230000,2026-06-04 20:33:07
242824,230000,230000,2026-06-04 20:33:07
242946,230000,230000,2026-06-04 20:33:07
243088,230000,230000,2026-06-04 20:33:07
243224,230000,230000,2026-06-04 20:33:07
243359,230000,230000,2026-06-04 20:33:08
243493,230000,230000,2026-06-04 20:33:08
243626,230000,230000,2026-06-04 20:33:08
243758,230000,230000,2026-06-04 20:33:08
243896,230000,230000,2026-06-04 20:33:08
244036,230000,230000,2026-06-04 20:33:08
244171,230000,230000,2026-06-04 20:33:08
244300,230000,230000,2026-06-04 20:33:08
244438,230000,230000,2026-06-04 20:33:08
244576,230000,230000,2026-06-04 20:33:08
244709,230000,230000,2026-06-04 20:33:09
244843,230000,230000,2026-06-04 20:33:09
244984,230000,230000,2026-06-04 20:33:09
245110,230000,230000,2026-06-04 20:33:09
245246,240000,240000,2026-06-04 20:33:09
245394,240000,240000,2026-06-04 20:33:09
245514,240000,240000,2026-06-04 20:33:09
245654,240000,240000,2026-06-04 20:33:09
245790,240000,240000,2026-06-04 20:33:09
245931,240000,240000,2026-06-04 20:33:09
246058,240000,240000,2026-06-04 20:33:10
246195,240000,240000,2026-06-04 20:33:10
246340,240000,240000,2026-06-04 20:33:10
246470,240000,240000,2026-06-04 20:33:10
246596,240000,240000,2026-06-04 20:33:10
246735,240000,240000,2026-06-04 20:33:10
246880,240000,240000,2026-06-04 20:33:10
247017,240000,240000,2026-06-04 20:33:10
247140,240000,240000,2026-06-04 20:33:10
247277,240000,240000,2026-06-04 20:33:10
247414,240000,240000,2026-06-04 20:33:11
247553,240000,240000,2026-06-04 20:33:11
247692,240000,240000,2026-06-04 20:33:11
247816,240000,240000,2026-06-04 20:33:11
247950,240000,240000,2026-06-04 20:33:11
248090,240000,240000,2026-06-04 20:33:11
248228,240000,240000,2026-06-04 20:33:11
248363,240000,240000,2026-06-04 20:33:11
248500,240000,240000,2026-06-04 20:33:11
248624,240000,240000,2026-06-04 20:33:11
248764,240000,240000,2026-06-04 20:33:12
248897,240000,240000,2026-06-04 20:33:12
249034,240000,240000,2026-06-04 20:33:12
249168,240000,240000,2026-06-04 20:33:12
249308,240000,240000,2026-06-04 20:33:12
249448,240000,240000,2026-06-04 20:33:12
249583,240000,240000,2026-06-04 20:33:12
249702,240000,240000,2026-06-04 20:33:12
249838,240000,240000,2026-06-04 20:33:12
249976,240000,240000,2026-06-04 20:33:12
250117,240000,240000,2026-06-04 20:33:13
250241,240000,240000,2026-06-04 20:33:13
250376,240000,240000,2026-06-04 20:33:13
250514,240000,240000,2026-06-04 20:33:13
250650,240000,240000,2026-06-04 20:33:13
250790,240000,240000,2026-06-04 20:33:13
250922,240000,240000,2026-06-04 20:33:13
251064,240000,240000,2026-06-04 20:33:13
251200,240000,240000,2026-06-04 20:33:13
251323,240000,240000,2026-06-04 20:33:13
251470,240000,240000,2026-06-04 20:33:14
251598,240000,240000,2026-06-04 20:33:14
251729,240000,240000,2026-06-04 20:33:14
251869,240000,240000,2026-06-04 20:33:14
252008,240000,240000,2026-06-04 20:33:14
252144,240000,240000,2026-06-04 20:33:14
252281,240000,240000,2026-06-04 20:33:14
252406,240000,240000,2026-06-04 20:33:14
252539,240000,240000,2026-06-04 20:33:14
252678,240000,240000,2026-06-04 20:33:14
252814,240000,240000,2026-06-04 20:33:15
252950,240000,240000,2026-06-04 20:33:15
253086,240000,240000,2026-06-04 20:33:15
253224,240000,240000,2026-06-04 20:33:15
253362,250000,250000,2026-06-04 20:33:15
253486,250000,250000,2026-06-04 20:33:15
253623,250000,250000,2026-06-04 20:33:15
253764,250000,250000,2026-06-04 20:33:15
253888,250000,250000,2026-06-04 20:33:15
254028,250000,250000,2026-06-04 20:33:15
254160,250000,250000,2026-06-04 20:33:16
254291,250000,250000,2026-06-04 20:33:16
254456,250000,250000,2026-06-04 20:33:16
254567,250000,250000,2026-06-04 20:33:16
254702,250000,250000,2026-06-04 20:33:16
254836,250000,250000,2026-06-04 20:33:16
254977,250000,250000,2026-06-04 20:33:16
255101,250000,250000,2026-06-04 20:33:16
255240,250000,250000,2026-06-04 20:33:16
255382,250000,250000,2026-06-04 20:33:16
255505,250000,250000,2026-06-04 20:33:17
255647,250000,250000,2026-06-04 20:33:17
255786,250000,250000,2026-06-04 20:33:17
255923,250000,250000,2026-06-04 20:33:17
256060,250000,250000,2026-06-04 20:33:17
256182,250000,250000,2026-06-04 20:33:17
256323,250000,250000,2026-06-04 20:33:17
256460,250000,250000,2026-06-04 20:33:17
256596,250000,250000,2026-06-04 20:33:17
256732,250000,250000,2026-06-04 20:33:17
256867,250000,250000,2026-06-04 20:33:18
257004,250000,250000,2026-06-04 20:33:18
257140,250000,250000,2026-06-04 20:33:18
257268,250000,250000,2026-06-04 20:33:18
257407,250000,250000,2026-06-04 20:33:18
257546,250000,250000,2026-06-04 20:33:18
257664,250000,250000,2026-06-04 20:33:18
257804,250000,250000,2026-06-04 20:33:18
257942,250000,250000,2026-06-04 20:33:18
258078,250000,250000,2026-06-04 20:33:18
258214,250000,250000,2026-06-04 20:33:19
258355,250000,250000,2026-06-04 20:33:19
258488,250000,250000,2026-06-04 20:33:19
258622,250000,250000,2026-06-04 20:33:19
258756,250000,250000,2026-06-04 20:33:19
258893,250000,250000,2026-06-04 20:33:19
259030,250000,250000,2026-06-04 20:33:19
259165,250000,250000,2026-06-04 20:33:19
259300,250000,250000,2026-06-04 20:33:19
259438,250000,250000,2026-06-04 20:33:19
259574,250000,250000,2026-06-04 20:33:20
259707,250000,250000,2026-06-04 20:33:20
259844,250000,250000,2026-06-04 20:33:20
259969,250000,250000,2026-06-04 20:33:20
260108,250000,250000,2026-06-04 20:33:20
260244,250000,250000,2026-06-04 20:33:20
260378,250000,250000,2026-06-04 20:33:20
260518,250000,250000,2026-06-04 20:33:20
260642,250000,250000,2026-06-04 20:33:20
260780,250000,250000,2026-06-04 20:33:20
260916,250000,250000,2026-06-04 20:33:21
261054,250000,250000,2026-06-04 20:33:21
261196,250000,250000,2026-06-04 20:33:21
261318,250000,250000,2026-06-04 20:33:21
261454,250000,250000,2026-06-04 20:33:21
261592,250000,250000,2026-06-04 20:33:21
261732,250000,250000,2026-06-04 20:33:21
261872,250000,250000,2026-06-04 20:33:21
261995,250000,250000,2026-06-04 20:33:21
262132,250000,250000,2026-06-04 20:33:21
262272,250000,250000,2026-06-04 20:33:22
262404,250000,250000,2026-06-04 20:33:22
262542,250000,250000,2026-06-04 20:33:22
262678,250000,250000,2026-06-04 20:33:22
262784,250000,250000,2026-06-04 20:33:22
262847,250000,250000,2026-06-04 20:33:22
262916,250000,250000,2026-06-04 20:33:22
262985,250000,250000,2026-06-04 20:33:22
263053,250000,250000,2026-06-04 20:33:22
263117,250000,250000,2026-06-04 20:33:22
263189,250000,250000,2026-06-04 20:33:23
263252,250000,250000,2026-06-04 20:33:23
263321,250000,250000,2026-06-04 20:33:23
263385,250000,250000,2026-06-04 20:33:23
263455,250000,250000,2026-06-04 20:33:23
263525,260000,260000,2026-06-04 20:33:23
263588,260000,260000,2026-06-04 20:33:23
263660,260000,260000,2026-06-04 20:33:23
263724,260000,260000,2026-06-04 20:33:23
263795,260000,260000,2026-06-04 20:33:23
263858,260000,260000,2026-06-04 20:33:24
263927,260000,260000,2026-06-04 20:33:24
263997,260000,260000,2026-06-04 20:33:24
264067,260000,260000,2026-06-04 20:33:24
264131,260000,260000,2026-06-04 20:33:24
264195,260000,260000,2026-06-04 20:33:24
264265,260000,260000,2026-06-04 20:33:24
264327,260000,260000,2026-06-04 20:33:24
264402,260000,260000,2026-06-04 20:33:24
264473,260000,260000,2026-06-04 20:33:24
264535,260000,260000,2026-06-04 20:33:25
264606,260000,260000,2026-06-04 20:33:25
264669,260000,260000,2026-06-04 20:33:25
264741,260000,260000,2026-06-04 20:33:25
264805,260000,260000,2026-06-04 20:33:25
264874,260000,260000,2026-06-04 20:33:25
264944,260000,260000,2026-06-04 20:33:25
265005,260000,260000,2026-06-04 20:33:25
265075,260000,260000,2026-06-04 20:33:25
265146,260000,260000,2026-06-04 20:33:25
265215,260000,260000,2026-06-04 20:33:26
265284,260000,260000,2026-06-04 20:33:26
265347,260000,260000,2026-06-04 20:33:26
265418,260000,260000,2026-06-04 20:33:26
265481,260000,260000,2026-06-04 20:33:26
265552,260000,260000,2026-06-04 20:33:26
265622,260000,260000,2026-06-04 20:33:26
265684,260000,260000,2026-06-04 20:33:26
265754,260000,260000,2026-06-04 20:33:26
265816,260000,260000,2026-06-04 20:33:26
265887,260000,260000,2026-06-04 20:33:27
265957,260000,260000,2026-06-04 20:33:27
266026,260000,260000,2026-06-04 20:33:27
266088,260000,260000,2026-06-04 20:33:27
266157,260000,260000,2026-06-04 20:33:27
266228,260000,260000,2026-06-04 20:33:27
266290,260000,260000,2026-06-04 20:33:27
266360,260000,260000,2026-06-04 20:33:27
266431,260000,260000,2026-06-04 20:33:27
266493,260000,260000,2026-06-04 20:33:27
266566,260000,260000,2026-06-04 20:33:28
266629,260000,260000,2026-06-04 20:33:28
266700,260000,260000,2026-06-04 20:33:28
